"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"

"XIST",2264.80264379413,9.40127663039349,0.490289605789746,19.1749458266613,5.99308620400126e-82,2.00462740437638e-77

"TSIX",7.93119966916651,2.65035478320879,0.290724086338986,9.11639216613949,7.76668162507467e-20,1.29893866838561e-15

"PRSS41",27.6566709771899,-3.08630797979662,0.43602538231237,-7.07827595592949,1.45958858311276e-12,1.62739261721795e-08

"MMP1",16172.3820344239,2.24937111953796,0.353344733445502,6.36593928429074,1.9409820736751e-10,1.40491708552946e-06

"GAST",72.2237527443347,3.83992143048226,0.604346821149931,6.35383739286621,2.10008832181749e-10,1.40491708552946e-06

"CALML3",9.98336783673145,-2.89843145412963,0.47643417806502,-6.08359262952388,1.17518970698337e-09,6.55148675148112e-06

"LINC00470",7.42499819140936,-2.25748638966778,0.376024623653945,-6.00356000022314,1.9303738392196e-09,9.22415350686522e-06

"ATP1A2",273.773147632991,1.77296502634758,0.302888898746167,5.85351603735533,4.81287820633284e-09,1.95151372821763e-05

"NPIPB11",56.598564708706,-1.27947704167169,0.219125293510953,-5.83902032107371,5.25086655922708e-09,1.95151372821763e-05

"RTL1",25.5588357690916,2.49730074149296,0.43474491588475,5.7442896978121,9.23076376752561e-09,3.08759817259964e-05

"C6orf58",75.6011889057601,2.41985618506674,0.431023741999779,5.61420624729294,1.97466573912633e-08,5.40282548271717e-05

"CST4",113.548020998464,-1.72894753849753,0.308505462689162,-5.60426879779289,2.09135941448271e-08,5.40282548271717e-05

"HAND1",6.85533570086223,2.91225849425261,0.519714864493735,5.60356975182826,2.09981557820333e-08,5.40282548271717e-05

"ACTC1",114.069448691672,1.81071790776065,0.32428373463055,5.58374569672315,2.3539283221888e-08,5.50648219532123e-05

"RP11-93B14.6",11.0498227718872,-1.1802188657804,0.211682543147409,-5.57541896574123,2.4693483491231e-08,5.50648219532123e-05

"SYNM",810.901280184885,1.12192333123719,0.203674771717978,5.5084059835878,3.62097542188389e-08,6.96409840794453e-05

"LEP",137.006261882316,2.56790672310568,0.466680066615208,5.50249926406864,3.7444479031252e-08,6.96409840794453e-05

"IGHV3-48",221.149008280153,1.8649042723702,0.338928655932177,5.50235053817162,3.74760893727769e-08,6.96409840794453e-05

"LYVE1",379.337448140795,1.29246110372651,0.236047312996443,5.47543239242881,4.36444573030318e-08,7.60410673801029e-05

"FFAR4",213.283323634013,-1.30074167984243,0.237874508479846,-5.46818441435745,4.5466870387816e-08,7.60410673801029e-05

"GFAP",110.387850030251,1.58574476597182,0.29182512199949,5.43388710028394,5.51394757184875e-08,8.78266820622709e-05

"KDM5C",5665.8249529631,0.35098453561651,0.0649790272491047,5.40150492359589,6.60841250402993e-08,9.92899216473411e-05

"DEFA6",9.32818021936839,4.48515899742833,0.831253492368647,5.39565732788433,6.82731381472943e-08,9.92899216473411e-05

"RP11-734K21.5",35.9827097893149,-1.6496982781878,0.306767603031578,-5.37768089552137,7.5451390345493e-08,0.000101250736964299

"TFF3",13931.2287531986,-1.87602844434647,0.348889198002076,-5.37714682796028,7.56754588809072e-08,0.000101250736964299

"SLIT1",161.725063306209,1.45079141125141,0.27094212600031,5.3546173593166,8.57376581715589e-08,0.000110301497237711

"RP11-734K21.3",4.84584408388136,-1.83778705165781,0.344655073572692,-5.33225010329117,9.70032099319697e-08,0.000120172606259795

"MPP2",324.866678287876,1.12734884417217,0.213357476804005,5.28384972047534,1.26497031846863e-07,0.00015111425779449

"PRIMA1",160.298202854637,1.47217828667147,0.280586578507291,5.24678797718479,1.54773842290545e-07,0.000178518284509532

"CACNG7",7.22139169556864,2.00039657517,0.383491247502557,5.21627700292342,1.82555113263074e-07,0.000203542866117886

"KDM6A",1370.69797846501,0.471451221307443,0.0906807615834228,5.19902141397133,2.00340447185716e-07,0.000216167342513388

"CPLX2",1736.53843764393,1.99640318841683,0.386854364853703,5.16060659977769,2.46150952082049e-07,0.000250332575040224

"AP006621.8",18.828572427337,-1.52657321715432,0.295848496881342,-5.15998300902841,2.46972255563018e-07,0.000250332575040224

"RP11-1060J15.4",32.6767356962296,-1.57535461589596,0.307823136619437,-5.11772647500367,3.09240628584124e-07,0.00030422911133854

"RP11-386M24.3",10.269843099448,-1.59137912641196,0.311994701794328,-5.10066073962059,3.3846978834279e-07,0.000317296026471196

"PTPRT",146.65857560014,1.43725316376832,0.281870906762317,5.09897662116743,3.41494721903885e-07,0.000317296026471196

"UBE2QL1",253.90643896504,1.11543163241227,0.219148288642236,5.08984870163979,3.58349319014716e-07,0.000323957469506033

"KIF5C",586.354209044788,1.36506502255069,0.269505134810275,5.06507983052589,4.0822924008419e-07,0.000352601471720151

"SFTPC",3.14509458457916,2.68665466535369,0.530567596562001,5.06373680330802,4.11117145417976e-07,0.000352601471720151

"LINC01082",2.54413644414466,3.21563082715352,0.636634667837044,5.05098290999227,4.39542399928462e-07,0.000367556343380179

"CASQ2",91.3321690771403,1.49195827876304,0.297213669533242,5.01981716085294,5.17206847549413e-07,0.000421952483992203

"ZCCHC12",30.8826805016735,1.05188437413339,0.209772298384442,5.01441030219177,5.31963615484578e-07,0.000423658356531992

"MYOC",17.2515479070272,2.05224575102341,0.410550935091026,4.99876038662144,5.77000504020826e-07,0.000448839299046339

"EPHB1",99.7241170881575,0.894287151018901,0.180446187915001,4.95597696660764,7.19677420944717e-07,0.000547102046663178

"BARX1",89.5388902002353,-1.77039105103669,0.357863042632592,-4.94711898164434,7.53199413890937e-07,0.000553548255182698

"ZBBX",10.6477552220421,1.84260339024231,0.372615952471937,4.9450469793858,7.61255037173132e-07,0.000553548255182698

"BVES",172.378639319191,0.932421787780381,0.189492249953769,4.92063283858768,8.62648267293095e-07,0.000613930253035888

"RP11-276H19.2",12.0798461138439,1.75476056744335,0.35763927132148,4.90650973803715,9.27113878885789e-07,0.000646063169476058

"REEP2",381.567979700548,1.13572248329273,0.231894465657092,4.89758339024851,9.70224643882272e-07,0.000659021115974596

"GRIA2",131.779156563113,1.69965333811427,0.347251485301101,4.89458910921721,9.8511333070435e-07,0.000659021115974596

"DES",2179.16766928402,1.87809582681341,0.385254628812204,4.87494681791067,1.08837772272312e-06,0.000706406268395229

"PGA5",3.98473027205034,2.35371696036995,0.483157474253175,4.87153171749673,1.10736381406085e-06,0.000706406268395229

"MAPT",336.351119543835,1.22872563456105,0.252407737160766,4.86801889824176,1.12722552949828e-06,0.000706406268395229

"FRRS1L",197.679178635319,1.60844610865053,0.330567070162553,4.86571789458518,1.14042089429706e-06,0.000706406268395229

"FMN2",218.458778388773,1.47800239269155,0.3042646924043,4.85762045215426,1.18804865183701e-06,0.000718479438627571

"CERS1",65.168828100338,1.1898894445748,0.245077085759669,4.85516400232394,1.20287149281425e-06,0.000718479438627571

"ENSG00000275088.1",5.08424978986514,1.08432513383043,0.224106803340257,4.83843023803305,1.30868613826808e-06,0.000758261822947936

"LINC00051",1.10973310045538,-2.91474518347779,0.602816409058873,-4.8352120806206,1.33003756085418e-06,0.000758261822947936

"LRRC4",103.746339073489,1.09573571905803,0.22666791034301,4.83410164853014,1.33748236281887e-06,0.000758261822947936

"XXbac-B476C20.17",1.48818743584939,1.97059700114365,0.408234311047549,4.82712243389587,1.38519968985375e-06,0.000772225740431966

"GP9",1.09742483838131,-2.11320284554212,0.438429034964774,-4.81994274332654,1.43599428725688e-06,0.000787419228105828

"FHL1",2495.40439281415,0.920311745348833,0.191118964252648,4.81538684006383,1.46915000567855e-06,0.00079260642806358

"MAP3K15",77.7463888944864,1.5518188786447,0.322550814025403,4.81108343605818,1.50114330235244e-06,0.000797011782863281

