"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000215148.6",43.7982107592509,-3.63739902142937,0.557627133843387,-6.52299502780465,6.89171483988481e-11,2.28846282973215e-06
"ENSG00000254656.1",42.8265164382597,3.50760536686723,0.57057944773465,6.14744428807127,7.87413433590746e-10,1.30734252379072e-05
"ENSG00000185834.10",58.8443818778987,-2.28293161619713,0.378182178529805,-6.03659227167207,1.574027631651e-09,1.74223871788677e-05
"ENSG00000258545.4",91.0542464886807,-2.16501807486439,0.362151210579635,-5.97821576075698,2.25594815658525e-09,1.87277536218924e-05
"ENSG00000156687.9",44.3424911157297,2.6821739335058,0.457121653459221,5.8675276334182,4.4234130410669e-09,2.93767706883335e-05
"ENSG00000168280.15",572.367771722207,1.78882863719385,0.315947168484317,5.66179670409878,1.49796226809919e-08,8.29022251241698e-05
"ENSG00000223802.6",61.8202318115548,1.52897740630804,0.277873795275269,5.50241668090146,3.74620281409071e-08,0.000169937968097234
"ENSG00000260230.2",197.16545353289,2.11012108867258,0.384585460864642,5.48674170866603,4.09415089073622e-08,0.000169937968097234
"ENSG00000133800.7",324.082799540404,1.44144594482616,0.265493466012853,5.42930854937266,5.65728039701309e-08,0.000208728503181352
"ENSG00000115353.9",99.6796167816225,1.84415446303337,0.342385709282508,5.38618994028085,7.19669102983269e-08,0.000231567815315195
"ENSG00000121351.6",773.109656092926,2.68685204404703,0.499907377765507,5.37469972148993,7.67104128310288e-08,0.000231567815315195
"ENSG00000129194.6",87.6440643985456,-1.43226931125223,0.272478408247298,-5.25645066875289,1.46862146943879e-07,0.000406392037618204
"ENSG00000183783.6",18.8699302416098,1.99943287446742,0.381995105787621,5.23418453318888,1.6571483307748e-07,0.000423286672859293
"ENSG00000170477.11",339.665160442104,-2.60743000794224,0.499765628726475,-5.217305588995,1.81544608712371e-07,0.000430597876921642
"ENSG00000196611.4",11072.3725585218,2.16249439818044,0.415604457174713,5.20325121843283,1.95831855222122e-07,0.000433519505633718
"ENSG00000071991.7",253.96619988445,1.82009507076728,0.351450761442727,5.1788053134262,2.23311366099961e-07,0.000463454826419707
"ENSG00000151812.13",16.8459920873153,1.65640408208396,0.321806171941223,5.14721042201297,2.64388696118959e-07,0.000514242867940074
"ENSG00000109846.6",1550.72218956571,1.23498799444967,0.240397646697357,5.13727156407831,2.78755996594631e-07,0.000514242867940074
"ENSG00000132563.14",348.48206043875,1.38517219744642,0.270913780442857,5.11296322830869,3.17144052206546e-07,0.000554267652503714
"ENSG00000116254.16",150.16048999722,1.7373415640416,0.342397936721631,5.0740421530462,3.89452723904447e-07,0.000646608357498553
"ENSG00000260947.1",22.3136467911856,1.60750055093645,0.318676320646005,5.04430497903892,4.5517280711672e-07,0.000719736582529419
"ENSG00000154646.7",21.1142860983794,-3.23971830819977,0.648590395836802,-4.99501430948563,5.88314050723234e-07,0.000880671578893033
"ENSG00000198744.5",122.986962332343,-1.47533406187172,0.295775133829854,-4.9880260141152,6.09993564853935e-07,0.000880671578893033
"ENSG00000101441.4",145.651689997545,-2.09504695708678,0.421342007765118,-4.97231920500718,6.61566579772971e-07,0.000915332493664219
"ENSG00000160868.13",62.5944899523766,-1.95340086499917,0.394190788549289,-4.95547060393809,7.2155431480952e-07,0.000958397303102596
"ENSG00000084710.12",194.821894542974,1.2525478473783,0.253391694178353,4.94312906127331,7.68785525597188e-07,0.000981857390883855
"ENSG00000147255.16",211.461711328807,1.66980644267009,0.33944777664417,4.91918509285299,8.69052613132761e-07,0.00106880596561802
"ENSG00000110375.2",99.3230287968912,-2.43866914911192,0.497629921345182,-4.90056776031427,9.55600911916266e-07,0.0011332744243247
"ENSG00000143340.6",60.0353674815905,1.63920175576377,0.338210250247756,4.84669448830417,1.25535518029065e-06,0.00142449532589647
"ENSG00000108231.10",17.2106328578083,1.7611758222565,0.364140247033876,4.83653162923421,1.32124257078105e-06,0.00142449532589647
"ENSG00000186369.8",389.68449297205,2.15861637263581,0.446434309147321,4.83523852984936,1.32986072103808e-06,0.00142449532589647
"ENSG00000155816.18",197.13109757127,1.77479320759728,0.370256540574339,4.79341487079266,1.63966053897326e-06,0.00162226311733295
"ENSG00000160180.15",18496.8815217211,-2.20722297215362,0.460541203051731,-4.79267209432658,1.64574493012909e-06,0.00162226311733295
"ENSG00000174697.4",141.813896137414,2.65257061118574,0.553678382602176,4.79081483860575,1.66105360444861e-06,0.00162226311733295
